,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,1,Coffee Shop,Sandwich Place,Gym,Yoga Studio,Tennis Stadium,Deli / Bodega,Pizza Place,Diner,Discount Store,Pharmacy
1,Manhattan,Chinatown,40.71561842231432,-73.99427936255978,0,Chinese Restaurant,Bakery,Cocktail Bar,American Restaurant,Salon / Barbershop,Dessert Shop,Spa,Hotpot Restaurant,Optical Shop,Mexican Restaurant
2,Manhattan,Washington Heights,40.85190252555305,-73.93690027985234,0,Café,Grocery Store,Bakery,Mobile Phone Shop,Pizza Place,Sandwich Place,Chinese Restaurant,Supermarket,Supplement Shop,Coffee Shop
3,Manhattan,Inwood,40.86768396449915,-73.92121042203897,0,Mexican Restaurant,Restaurant,Café,Deli / Bodega,Wine Bar,Pizza Place,Park,Bakery,Lounge,Chinese Restaurant
4,Manhattan,Hamilton Heights,40.823604284811935,-73.94968791883366,0,Pizza Place,Coffee Shop,Café,Mexican Restaurant,Deli / Bodega,Yoga Studio,Bakery,Latin American Restaurant,Liquor Store,Park
5,Manhattan,Manhattanville,40.8169344294978,-73.9573853935188,0,Coffee Shop,Deli / Bodega,Mexican Restaurant,Italian Restaurant,Bar,Spanish Restaurant,Cuban Restaurant,Chinese Restaurant,Bike Trail,Boutique
6,Manhattan,Central Harlem,40.81597606742414,-73.94321112603905,1,Seafood Restaurant,African Restaurant,Public Art,Bar,Gym / Fitness Center,French Restaurant,American Restaurant,Chinese Restaurant,Café,Event Space
7,Manhattan,East Harlem,40.79224946663033,-73.94418223148524,0,Bakery,Deli / Bodega,Thai Restaurant,Mexican Restaurant,Sandwich Place,Latin American Restaurant,Cocktail Bar,Grocery Store,Fast Food Restaurant,Café
8,Manhattan,Upper East Side,40.775638573301805,-73.96050763135,1,Italian Restaurant,Gym / Fitness Center,Exhibit,Bakery,Juice Bar,American Restaurant,Coffee Shop,Yoga Studio,Cosmetics Shop,Spa
9,Manhattan,Yorkville,40.775929849884875,-73.94711784471826,0,Italian Restaurant,Gym,Bar,Coffee Shop,Deli / Bodega,Mexican Restaurant,Sushi Restaurant,Japanese Restaurant,Wine Shop,Pub
10,Manhattan,Lenox Hill,40.76811265828733,-73.9588596881376,0,Italian Restaurant,Coffee Shop,Pizza Place,Sushi Restaurant,Café,Cocktail Bar,Gym,Burger Joint,Gym / Fitness Center,Steakhouse
11,Manhattan,Roosevelt Island,40.76215960576283,-73.94916769227953,1,Park,Coffee Shop,School,Scenic Lookout,Liquor Store,Supermarket,Farmers Market,Outdoors & Recreation,Gym / Fitness Center,Gym
12,Manhattan,Upper West Side,40.787657998534854,-73.97705923630603,0,Italian Restaurant,Bakery,Wine Bar,Mediterranean Restaurant,Bar,Café,Coffee Shop,Pub,Sushi Restaurant,Indian Restaurant
13,Manhattan,Lincoln Square,40.77352888942166,-73.98533777001262,1,Plaza,Performing Arts Venue,Theater,Café,Concert Hall,Indie Movie Theater,Wine Shop,Park,Coffee Shop,French Restaurant
14,Manhattan,Clinton,40.75910089146212,-73.99611936309479,1,Italian Restaurant,Gym / Fitness Center,American Restaurant,Theater,Sandwich Place,Wine Shop,Coffee Shop,Spa,Gym,Cocktail Bar
15,Manhattan,Midtown,40.75469110270623,-73.98166882730304,1,Hotel,Clothing Store,Sporting Goods Shop,Theater,Coffee Shop,Steakhouse,Bookstore,American Restaurant,Spa,Bakery
16,Manhattan,Murray Hill,40.748303077252174,-73.97833207924127,1,Coffee Shop,Sandwich Place,Japanese Restaurant,Hotel,American Restaurant,Bar,Burger Joint,Gym / Fitness Center,Sushi Restaurant,Taco Place
17,Manhattan,Chelsea,40.744034706747975,-74.00311633472813,0,Coffee Shop,Art Gallery,Bakery,American Restaurant,French Restaurant,Hotel,Wine Shop,Ice Cream Shop,Seafood Restaurant,Thai Restaurant
18,Manhattan,Greenwich Village,40.72693288536128,-73.99991402945902,0,Italian Restaurant,Clothing Store,Sushi Restaurant,Dessert Shop,Bakery,Cosmetics Shop,Indian Restaurant,Coffee Shop,Gym,Chinese Restaurant
