,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Alamo Square,37.7763599,-122.43470002366266,0,Bar,Indian Restaurant,Food Truck,Café,Seafood Restaurant,Sushi Restaurant,Record Shop,Pizza Place,Ethiopian Restaurant,Bakery
1,Anza Vista,37.7808364,-122.4431489,0,Café,Coffee Shop,Bus Station,Sandwich Place,Tunnel,Health & Beauty Service,Arts & Crafts Store,Pet Store,Convenience Store,Cosmetics Shop
3,Balboa Hollow,37.798793700000004,-122.43609848645681,0,Cosmetics Shop,Gym / Fitness Center,Wine Bar,Italian Restaurant,French Restaurant,Mexican Restaurant,Ice Cream Shop,Salad Place,Deli / Bodega,Motel
4,Balboa Terrace,37.7313,-122.4687,0,Light Rail Station,Optical Shop,Intersection,Bakery,Comic Shop,Playground,Sushi Restaurant,Pharmacy,Restaurant,Gym
5,Bayview,37.7288889,-122.3925,0,Bakery,Café,Southern / Soul Food Restaurant,Pharmacy,Pool,Chinese Restaurant,Coffee Shop,BBQ Joint,Piercing Parlor,Gym
6,Belden Place,37.791744,-122.4038861,0,Coffee Shop,Boutique,Men's Store,Bubble Tea Shop,Hotel,Sandwich Place,Sushi Restaurant,Jewelry Store,Clothing Store,French Restaurant
7,Bernal Heights,37.7429861,-122.4158042,0,Coffee Shop,Italian Restaurant,Playground,Trail,Mexican Restaurant,Yoga Studio,Food Truck,Chinese Restaurant,Gourmet Shop,Grocery Store
8,Buena Vista,37.8065321,-122.4206485,0,Ice Cream Shop,Park,Chocolate Shop,Historic Site,Tour Provider,Gift Shop,Diner,Boat or Ferry,Gym / Fitness Center,Gym
9,Butchertown,37.74347,-122.38476,0,Coffee Shop,Garden Center,Sandwich Place,Building,Music Store,General Entertainment,Food Truck,Park,Chinese Restaurant,Thrift / Vintage Store
10,Castro,37.7608561,-122.434957,0,Gay Bar,Coffee Shop,Thai Restaurant,New American Restaurant,Yoga Studio,Deli / Bodega,Mexican Restaurant,Mediterranean Restaurant,Arts & Crafts Store,Convenience Store
11,Cathedral Hill,37.7842,-122.4254,0,Hotel,Sushi Restaurant,Shopping Mall,Gift Shop,Japanese Restaurant,Ramen Restaurant,Coffee Shop,Park,Korean Restaurant,Gym
12,Cayuga Terrace,37.7246,-122.44,0,Mexican Restaurant,Sandwich Place,Vietnamese Restaurant,Latin American Restaurant,Bank,Bar,Coffee Shop,Bakery,Deli / Bodega,Park
13,China Basin,37.7771799,-122.3866825,0,Baseball Stadium,Coffee Shop,Outdoor Sculpture,Sandwich Place,Park,Brewery,Monument / Landmark,Performing Arts Venue,Beer Garden,Fast Food Restaurant
14,Chinatown,37.7943011,-122.4063757,0,Chinese Restaurant,Bakery,Coffee Shop,Cocktail Bar,Tea Room,New American Restaurant,Bubble Tea Shop,Café,Dim Sum Restaurant,Italian Restaurant
15,Civic Center,37.7795939,-122.4167938,0,Vietnamese Restaurant,Beer Bar,Hotel,Sandwich Place,Coffee Shop,Café,Theater,Vegetarian / Vegan Restaurant,Bakery,Hotel Bar
16,Clarendon Heights,37.755154,-122.4528729,1,Trail,Monument / Landmark,Playground,Yemeni Restaurant,Exhibit,Fabric Shop,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Flea Market
17,Cole Valley,37.7658133,-122.4499624,0,Thrift / Vintage Store,Pizza Place,Wine Bar,Gift Shop,Breakfast Spot,Bookstore,Boutique,Board Shop,Sports Bar,Playground
18,Corona Heights,37.7648857,-122.4393677,0,Park,Gay Bar,Scenic Lookout,Cosmetics Shop,Public Art,Trail,Hill,Shoe Store,Coffee Shop,Salon / Barbershop
19,Cow Hollow,37.7972616,-122.4362477,0,Cosmetics Shop,Gym / Fitness Center,Wine Bar,French Restaurant,Italian Restaurant,Juice Bar,Mexican Restaurant,Coffee Shop,Sushi Restaurant,Motel
20,Crocker-Amazon,37.7093777,-122.4385868,0,Liquor Store,Dog Run,Yemeni Restaurant,Food Stand,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Flea Market,Flower Shop,Food
21,Design District,37.769,-122.4019,0,Furniture / Home Store,Coffee Shop,Art Gallery,Jewelry Store,Bar,Café,Food Truck,Bus Station,Burger Joint,Nightclub
22,Diamond Heights,37.7424,-122.4425,1,Trail,Shopping Mall,Grocery Store,Pharmacy,Korean Restaurant,Dim Sum Restaurant,Coffee Shop,Playground,Salon / Barbershop,Eye Doctor
