,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,M3A,North York,Parkwoods,43.7532586,-79.3296565,0.0,Park,Fast Food Restaurant,Food & Drink Shop,Distribution Center,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run
1,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998,1.0,Coffee Shop,Hockey Arena,Pizza Place,Portuguese Restaurant,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner
2,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,1.0,Coffee Shop,Park,Bakery,Theater,Café,Pub,Breakfast Spot,Yoga Studio,Hotel,Spa
3,M6A,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,1.0,Clothing Store,Furniture / Home Store,Athletics & Sports,Accessories Store,Vietnamese Restaurant,Coffee Shop,Boutique,Miscellaneous Shop,Carpet Store,Deli / Bodega
4,M7A,Queen's Park,Ontario Provincial Government,43.6623015,-79.3894938,1.0,Coffee Shop,Sushi Restaurant,Yoga Studio,Bar,Beer Bar,Smoothie Shop,Sandwich Place,Salad Place,Burrito Place,Portuguese Restaurant
6,M1B,Scarborough,"Malvern, Rouge",43.806686299999996,-79.19435340000001,1.0,Fast Food Restaurant,Women's Store,Distribution Center,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run
7,M3B,North York,Don Mills North,43.745905799999996,-79.352188,1.0,Japanese Restaurant,Baseball Field,Gym,Dessert Shop,Café,Caribbean Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
8,M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,1.0,Pizza Place,Athletics & Sports,Gym / Fitness Center,Breakfast Spot,Pharmacy,Bank,Gastropub,Flea Market,Intersection,Women's Store
9,M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,1.0,Coffee Shop,Clothing Store,Café,Hotel,Bubble Tea Shop,Cosmetics Shop,Japanese Restaurant,Italian Restaurant,Middle Eastern Restaurant,Pizza Place
10,M6B,North York,Glencairn,43.709577,-79.44507259999999,1.0,Smoke Shop,Bakery,Japanese Restaurant,Italian Restaurant,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
11,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.55472440000001,1.0,Filipino Restaurant,Bakery,Women's Store,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Doner Restaurant
12,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999,1.0,Bar,Dog Run,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Women's Store,Ethiopian Restaurant
13,M3C,North York,Don Mills South,43.72589970000001,-79.340923,1.0,Coffee Shop,Gym,Restaurant,Sporting Goods Shop,Grocery Store,Italian Restaurant,Dim Sum Restaurant,Café,Discount Store,Asian Restaurant
14,M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887,1.0,Park,Curling Ice,Beer Store,Skating Rink,Intersection,Dance Studio,Athletics & Sports,Comic Shop,Dim Sum Restaurant,College Gym
15,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,1.0,Coffee Shop,Café,Cocktail Bar,Italian Restaurant,Gastropub,Cosmetics Shop,Moroccan Restaurant,Park,Seafood Restaurant,Creperie
16,M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002,1.0,Hockey Arena,Field,Playground,Trail,Women's Store,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant
17,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.57720079999999,1.0,Park,Pharmacy,Beer Store,Liquor Store,Café,Pizza Place,Coffee Shop,Pet Store,College Stadium,Drugstore
18,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,1.0,Rental Car Location,Mexican Restaurant,Donut Shop,Breakfast Spot,Intersection,Bank,Medical Center,Restaurant,Electronics Store,Convenience Store
19,M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312,1.0,Asian Restaurant,Trail,Pub,Health Food Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
20,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,1.0,Coffee Shop,Cocktail Bar,Bakery,Farmers Market,Restaurant,Seafood Restaurant,Pharmacy,Cheese Shop,Beer Bar,Hotel
